[2019-07-22 15:54:15] main.ERROR: Error: Application is not installed yet.  [] []
[2019-07-22 15:56:05] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"tags":["VERTEX"],"mode":"matchingTag"}} []
[2019-07-22 15:56:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_1"}} []
[2019-07-22 15:56:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_2"}} []
[2019-07-22 15:56:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_3"}} []
[2019-07-22 15:56:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_4"}} []
[2019-07-22 15:56:11] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/progress","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 15:56:12] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_1"}} []
[2019-07-22 15:56:12] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_2"}} []
[2019-07-22 15:56:12] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_3"}} []
[2019-07-22 15:56:12] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_4"}} []
[2019-07-22 15:56:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_customer_grid_flat_1"}} []
[2019-07-22 15:56:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_customer_grid_flat_2"}} []
[2019-07-22 15:56:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_customer_grid_flat_3"}} []
[2019-07-22 15:56:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_customer_grid_flat_4"}} []
[2019-07-22 15:56:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_customer_grid_flat_1"}} []
[2019-07-22 15:56:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_customer_grid_flat_2"}} []
[2019-07-22 15:56:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_customer_grid_flat_3"}} []
[2019-07-22 15:56:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_customer_grid_flat_4"}} []
[2019-07-22 15:56:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"tags":["CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 15:56:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"tags":["LAYOUT_GENERAL_CACHE_TAG"],"mode":"matchingTag"}} []
[2019-07-22 15:56:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"tags":["BLOCK_HTML"],"mode":"matchingTag"}} []
[2019-07-22 15:56:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"tags":["COLLECTION_DATA"],"mode":"matchingTag"}} []
[2019-07-22 15:56:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"tags":["REFLECTION"],"mode":"matchingTag"}} []
[2019-07-22 15:56:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"tags":["DB_DDL"],"mode":"matchingTag"}} []
[2019-07-22 15:56:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"tags":["COMPILED_CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 15:56:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingTag"}} []
[2019-07-22 15:56:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"tags":["CUSTOMER_NOTIFICATION"],"mode":"matchingTag"}} []
[2019-07-22 15:56:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION"],"mode":"matchingTag"}} []
[2019-07-22 15:56:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION_API_CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 15:56:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"}} []
[2019-07-22 15:56:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"tags":["WEBSERVICE"],"mode":"matchingTag"}} []
[2019-07-22 15:56:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"tags":["TRANSLATE"],"mode":"matchingTag"}} []
[2019-07-22 15:56:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/start","invalidateInfo":{"tags":["VERTEX"],"mode":"matchingTag"}} []
[2019-07-22 15:56:20] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/setup/index.php/success","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 15:56:21] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/session/prolong","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 15:56:21] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/session/prolong","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 15:56:22] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/install/progress","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 16:22:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/session/prolong","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 16:22:20] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 16:22:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/session/prolong","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 16:22:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/setup/index.php/session/prolong","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 16:54:59] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 16:55:15] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 17:28:25] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 17:28:29] main.CRITICAL: Can't create directory /var/www/html/eliferous/generated/code/Magento/Framework/App/Config/ConfigSourceAggregated/.
Class Magento\Framework\App\Config\ConfigSourceAggregated\Proxy generation error: The requested class did not generate properly, because the 'generated' directory permission is read-only. If --- after running the 'bin/magento setup:di:compile' CLI command when the 'generated' directory permission is set to write --- the requested class did not generate properly, then you must add the generated class object to the signature of the related construct method, only. [] []
[2019-07-22 17:28:38] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 17:30:53] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 17:31:38] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 17:33:21] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 17:37:16] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 17:38:03] main.CRITICAL: Can't create directory /var/www/html/eliferous/generated/code/Magento/Framework/App/ResourceConnection/.
Class Magento\Framework\App\ResourceConnection\Proxy generation error: The requested class did not generate properly, because the 'generated' directory permission is read-only. If --- after running the 'bin/magento setup:di:compile' CLI command when the 'generated' directory permission is set to write --- the requested class did not generate properly, then you must add the generated class object to the signature of the related construct method, only. [] []
[2019-07-22 17:38:05] main.CRITICAL: Can't create directory /var/www/html/eliferous/generated/code/Magento/Framework/App/ResourceConnection/.
Class Magento\Framework\App\ResourceConnection\Proxy generation error: The requested class did not generate properly, because the 'generated' directory permission is read-only. If --- after running the 'bin/magento setup:di:compile' CLI command when the 'generated' directory permission is set to write --- the requested class did not generate properly, then you must add the generated class object to the signature of the related construct method, only. [] []
[2019-07-22 17:48:00] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/pub/static/version1563817145/adminhtml/Magento/backend/en_US/Magento_AsynchronousOperations/template/grid/listing.html?resource=adminhtml/Magento/backend/en_US/Magento_AsynchronousOperations/template/grid/listing.html","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 17:48:03] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 17:48:03] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/pub/static/version1563817145/adminhtml/Magento/backend/en_US/Magento_Ui/templates/modal/modal-component.html?resource=adminhtml/Magento/backend/en_US/Magento_Ui/templates/modal/modal-component.html","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 17:48:22] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 17:52:45] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 17:55:01] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 17:55:16] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 18:04:52] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 18:05:12] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 18:07:03] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 18:07:16] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 18:07:21] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/admin123/admin/system_config/edit/key/2fe530f97ad17d637a07a3c1903879c778825c775ba7f9d5b73ae76a7b9b2042/section/berserk_settings/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 18:12:40] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-22 18:12:53] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 06:10:29] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 06:11:20] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 06:15:26] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 06:15:39] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/admin123/admin/system_config/edit/key/be2d5c11be84b3fa0eedba32d9901239e79db22769c59dadf0d89885ba113bae/section/berserk_settings/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 06:17:15] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 06:17:29] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 06:30:36] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 06:30:50] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/admin123/admin/system_config/edit/key/be2d5c11be84b3fa0eedba32d9901239e79db22769c59dadf0d89885ba113bae/section/web/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 07:13:38] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 07:13:52] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 07:16:45] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/admin123/mui/index/render/key/e0d57b49796510706d491286ed8022076b1c3917f6f01c032e6bb9d3f76adade/?namespace=notification_area&sorting%5Bfield%5D=created_at&sorting%5Bdirection%5D=asc&isAjax=true","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 07:16:45] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 07:17:03] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 08:14:59] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 08:15:03] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 08:15:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/eliferous/admin123/cms/block/save/key/d77a581be01cba9bd2a227768a8bdfa9d14a8c6f818afa3a4d7db1c6ba786874/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 08:17:13] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 08:17:14] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/admin123/mui/index/render/key/9fcf833ecc8b90ebf2c5444892367b567b31e10f34023a62a750407e3a1438aa/?namespace=notification_area&sorting%5Bfield%5D=created_at&sorting%5Bdirection%5D=asc&isAjax=true","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 08:17:14] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/admin123/mui/index/render/key/9fcf833ecc8b90ebf2c5444892367b567b31e10f34023a62a750407e3a1438aa/?namespace=cms_block_listing&search=&filters%5Bplaceholder%5D=true&paging%5BpageSize%5D=200&paging%5Bcurrent%5D=1&sorting%5Bfield%5D=block_id&sorting%5Bdirection%5D=asc&isAjax=true","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 08:17:35] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 08:32:59] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 08:33:14] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 10:35:03] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 10:35:17] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/eliferous-about-us","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 10:36:54] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/admin123/mui/index/render/key/81ee3525484169130265e49c6d02c65bb76cf8e27188ab939ea3a85473499116/?namespace=notification_area&sorting%5Bfield%5D=created_at&sorting%5Bdirection%5D=asc&isAjax=true","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 10:36:56] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 10:37:13] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/eliferous-about-us","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 10:55:07] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-23 10:55:27] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/eliferous-about-us","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-24 10:48:11] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-24 10:48:42] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/admin123/catalog/product_attribute/index/key/049fb189f1cd34005ea4bceccf03a8a5a4df2fa53337a8a11cca0c27a2ace00a/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-24 10:53:43] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-24 10:53:53] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/admin123/admin/import/index/key/ecd3d22fa2823ad321ad96fbd41bffcced1ee7454665567702b3820d683946ae/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-24 10:55:50] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-24 10:55:59] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/admin123/admin/import/index/key/ecd3d22fa2823ad321ad96fbd41bffcced1ee7454665567702b3820d683946ae/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-24 11:05:41] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-24 11:06:22] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/admin123/admin/import/index/key/ecd3d22fa2823ad321ad96fbd41bffcced1ee7454665567702b3820d683946ae/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-24 11:10:26] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-24 11:10:39] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/admin123/catalog/product_attribute/index/key/049fb189f1cd34005ea4bceccf03a8a5a4df2fa53337a8a11cca0c27a2ace00a/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-24 11:13:31] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-24 11:13:44] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/admin123/admin/import/index/key/ecd3d22fa2823ad321ad96fbd41bffcced1ee7454665567702b3820d683946ae/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-24 13:49:14] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-24 13:49:26] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/eliferous-about-us","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-24 13:51:34] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-24 13:51:38] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost/eliferous/admin123/mui/index/render/key/c7683327b2b463226e00d83d48d83a2272958f6217be1ae1ff6d02f47cd2492f/?namespace=notification_area&sorting%5Bfield%5D=created_at&sorting%5Bdirection%5D=asc&isAjax=true","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-07-24 13:51:47] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
