sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,key_feature_1,key_feature_2,short_description,color,length,width,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
EE015,,Default,simple,Earring,base,Geometry Of Space Earring,"Abtract geometrical shapes arranged in a simple format making it suitable for the classiest of affairs. Product features crystal, opaque and gold baguette stones.                                                                           ",Plating- Electroplated Rose Gold                                       ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose Gold                                       </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,65,40,30,1,taxable,"Catalog, Search",2199,,,,Geometry Of Space Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE016,,Default,simple,Earring,base,Milky Midnight Earring,This handcrafted rose gold finish earring has opaque milky and grey glass beads with spiral features. Claw like shape at the bottom.                                                                        ,Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,105,50,57,1,taxable,"Catalog, Search",2750,,,,Milky Midnight Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE017,,Default,simple,Earring,base,Pearl Paradise Earring,This Pearl paradise earring has a circular design. Texture domed sheet combine in such way that is gives an elegant abstract look.                                                                             ,Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,100,80,52,1,taxable,"Catalog, Search",2795,,,,Pearl Paradise Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE018,,Default,simple,Earring,base,Cuatro Lines Earring,"This rose gold minimlistic earring in shape of marquise, features four straights line in beam form with crystal marquise.                                                    ",Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,50,30,14,1,taxable,"Catalog, Search",1499,,,,Cuatro Lines Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE019,,Default,simple,Earring,base,Mesh Round Earring,"Mesh round earring has two mesh structure arranged in different lengths, hanging in half a round sheet with crystal and grey stone.                                   ",Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,110,35,40,1,taxable,"Catalog, Search",2850,,,,Mesh Round Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE020,,Default,simple,Earring,base,Pearl Galaxy Earring,"Handcrafted with rose gold plating in a circular arrangement, this product has unblemished pearls to provide elegance to this piece with grey stone on the top.                                                                                ",Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,60,35,40,1,taxable,"Catalog, Search",2150,,,,Pearl Galaxy Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE021,,Default,simple,Earring,base,Asymmetrical Twisted Earring,"Unique combination of a stud and earcuff, paired earrings with grey glass bead which enhances the pair.                                                                                                            ",Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,105,60,40,1,taxable,"Catalog, Search",1849,,,,Asymmetrical Twisted Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE022,,Default,simple,Earring,base,The beatitude Earring,The beatitude earrings has diamond shape attached with circular wire frame with dangle grey glass beads                                                                                  ,Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,115,60,52,1,taxable,"Catalog, Search",2450,,,,The beatitude Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE023,,Default,simple,Earring,base,Cloudy Midnight Earring ,"Handcrafted with rose gold plating features gush of grey beads , with crystal and opaque stone and diamond shape at the top .                                                                              ",Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,85,60,60,1,taxable,"Catalog, Search",1999,,,,Cloudy Midnight Earring ,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE024,,Default,simple,Earring,base,The Shell Elegance Earring,"The shell elegance earrings is handcrafted with silver plating,look features shell at the centre and surrounded with crystal marquise                                                                ",Plating- Electroplated Silver gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Silver gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Gunmetal,75,65,40,1,taxable,"Catalog, Search",1950,,,,The Shell Elegance Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE025,,Default,simple,Earring,base,The Elite Grey Earring,This earrings is embalished with foiled grey stone along with glass beads in rose gold plating make.                                        ,      Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>      Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,120,60,50,1,taxable,"Catalog, Search",2850,,,,The Elite Grey Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE026,,Default,simple,Earring,base,The Abstract Orb Earring, Triangular shape earrings has dangle mesh ball features  crystal baguettes.                                                         ,Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,80,25,20,1,taxable,"Catalog, Search",1550,,,,The Abstract Orb Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE027,,Default,simple,Earring,base,Empyrean Earring,Empyrean earring speaks with volume features fancy trillient crystal and black swarovski with raw like pearl and multi color glass beads.                                              ,Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,70,80,50,1,taxable,"Catalog, Search",7599,,,,Empyrean Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE028,,Default,simple,Earring,base,Dovetail Earring,"Geometrical shapes arranged in a simple format making it suitable for any occation .Product features crystal,gold stones  ,raw like pearl                                                                       ",Plating- Electroplated Rose Gold                                       ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose Gold                                       </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,80,60,65,1,taxable,"Catalog, Search",2999,,,,Dovetail Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE029,,Default,simple,Earring,base,The Mecer Earring,Gunmetal plated earrings featurs grey and crystal stone with metal ball chain arranged just like swing.                                ,   Plating- Electroplated Gunmetal                                               ,Stone-Faceted Foiled Stone,<ul><li>   Plating- Electroplated Gunmetal                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Gunmetal,115,70,82,1,taxable,"Catalog, Search",1650,,,,The Mecer Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE030,,Default,simple,Earring,base,The de La Leche Earring,Handcrafted earrings in rose gold plating features cone at the centre with crystal marquise combine with opaque glass beads.                                      ,Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,75,65,34,1,taxable,"Catalog, Search",2290,,,,The de La Leche Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE031,,Default,simple,Earring,base,Chain Tessel Earring,"Mesh round earring has two mesh structure arranged in different lengths, hanging in half a round sheet with crystal and grey stone.                                   ",Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,160,35,24,1,taxable,"Catalog, Search",1950,,,,Chain Tessel Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE032,,Default,simple,Earring,base,Layed square Earring,Geometrical shapes arranged in a simple format making it suitable for any occation .,Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,115,40,38,1,taxable,"Catalog, Search",1050,,,,Layed square Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE033,,Default,simple,Earring,base,Enmesh  Ring Earring,Handcrafted earrings in rose gold plating features tangled metal rings with crystal and grey stones.                                                                                                           ,Plating- Electroplated R ose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated R ose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,120,45,30,1,taxable,"Catalog, Search",2099,,,,Enmesh  Ring Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE034,,Default,simple,Earring,base,Enmesh Tube Earring,"Handcrafted with rose gold plating ,this enmesh tube earring features crystal square ,baguette stone.                                                                                              ",Plating- Electroplated Rose Gold                                              ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose Gold                                              </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,75,35,16,1,taxable,"Catalog, Search",1500,,,,Enmesh Tube Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE035,,Default,simple,Earring,base,Asymmetrical Baguette Earring ,This rose gold minimlistic earring features olive and crystal baguette stone in half circle.                                                   ,Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,70,20,30,1,taxable,"Catalog, Search",1850,,,,Asymmetrical Baguette Earring ,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE036,,Default,simple,Earring,base,Labyrinthine Earring,"Handcrafted in our studio with rose gold plating is embellished grey , crystal stone and grey glass beads.                                                                                                                         ",Plating- Electroplated Rose gold                                                              ,Stone-Pearl,<ul><li>Plating- Electroplated Rose gold                                                              </li><li>Stone-Pearl</li></ul>,Rose gold,70,140,80,1,taxable,"Catalog, Search",2850,,,,Labyrinthine Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE037,,Default,simple,Earring,base,Agrarian Rope and Shell Earring,"Agrarian rope and shell earring hand Embroided in our studio . this statement pair has wooden beads, sea shells, and thin rope.                                ",Plating- Electroplated Rose gold.                                                                                                ,Stone- Glass bead,<ul><li>Plating- Electroplated Rose gold.                                                                                                </li><li>Stone- Glass bead</li></ul>,Rose gold,150,70,45,1,taxable,"Catalog, Search",2350,,,,Agrarian Rope and Shell Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE038,,Default,simple,Earring,base,Littoral Shell Earring,"Littoral Shell earring hand Embroided in our studio . this statement pair has mother of pearl wooden beads, sea shells, and tassel                                                                                               ",Plating- Electroplated Rose gold.                                   ,Stone- Glass bead,<ul><li>Plating- Electroplated Rose gold.                                   </li><li>Stone- Glass bead</li></ul>,Rose gold,190,60,70,1,taxable,"Catalog, Search",2100,,,,Littoral Shell Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE039,,Default,simple,Earring,base,Drifted Fringe Earring,"Drifted Fringe Earring handcrafted in our studio ,features letterd olice, cockle shell and wooden beads like fringes                                                                                           ",Plating- Electroplated Rose gold.                                     ,Stone- Glass bead,<ul><li>Plating- Electroplated Rose gold.                                     </li><li>Stone- Glass bead</li></ul>,Rose gold,130,55,65,1,taxable,"Catalog, Search",1849,,,,Drifted Fringe Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE040,,Default,simple,Earring,base,Anteplaya shell earring,"Anteplaya shell earring hand Embroided in our studio features  letterd olice, cockle shell  wooden beads.                                                                                              ",Plating- Electroplated Rose gold.                                                                  ,Stone- Glass bead,<ul><li>Plating- Electroplated Rose gold.                                                                  </li><li>Stone- Glass bead</li></ul>,Rose gold,160,50,75,1,taxable,"Catalog, Search",2499,,,,Anteplaya shell earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN001,,Default,simple,Neckpiece,base,Antique Stipule Necklace,"Handcrafted in antique gold plating, inspired from artistic forms of nature, features metallic leaves and flower with grey stone.                                                         ", Plating- Electroplated Antique gold                                               ,Stone-Faceted Foiled Stone,<ul><li> Plating- Electroplated Antique gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Antique gold,240,270,380,1,taxable,"Catalog, Search",12500,,,,Antique Stipule Necklace,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN002,,Default,simple,Neckpiece,base,Grey Anemone Necklace,"Grey anemone necklace is entirely hand embroided features silver plating, has crystal stone with grey feathers enhaces the look of a product .                                                                                                         ",Plating- Electroplated Silver                                                             ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Silver                                                             </li><li>Stone-Faceted Foiled Stone</li></ul>,Silver,480,200,320,1,taxable,"Catalog, Search",9850,,,,Grey Anemone Necklace,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN003,,Default,simple,Neckpiece,base,Eliferous Necklace,"This eliferous necklace is crafted in our studio featuring the logo resonates with bold and dramatic eliferous vibe, having combination of pink, grey and crystal stones with rose gold chain tassels behind the logo make it unique and classic.                                                                                                            ",Plating- Electroplated Rose gold                                                              ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                                              </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,140,100,160,1,taxable,"Catalog, Search",5250,,,,Eliferous Necklace,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN004,,Default,simple,Neckpiece,base,Dingy Pearl Necklace,"Rose gold necklace is an iconic statement piece, Handcrafted in rose gold plating , features smoky pearls and grey stone.      ",Plating- Electroplated Rose gold                                                    ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                                    </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,290,260,334,1,taxable,"Catalog, Search",7249,,,,Dingy Pearl Necklace,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN005,,Default,simple,Neckpiece,base,Mangled Necklace,"The mangled necklace features a blend of contemporary elements, twisted snake chain with fancy swarovski stone at the centre.",Plating- Electroplated Rose gold                                                    ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                                    </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,500,100,262,1,taxable,"Catalog, Search",11550,,,,Mangled Necklace,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN006,,Default,simple,Neckpiece,base,Pearl Paradise Necklace,Handcrafted in rose gold plating necklace features floral motif with raw like pearl has another layer of fresh water pearl.    ,Plating- Electroplated Rose gold                                                     ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                                     </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,360,200,334,1,taxable,"Catalog, Search",9950,,,,Pearl Paradise Necklace,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN007,,Default,simple,Neckpiece,base,Abstract Geometry Necklace,Abstract geometry nacklace has grometric wire frames and animal foiled metal sheet in rose gold plating with grey stone and glass bead embellishment.                                                                        ,Plating- Electroplate Rose gold                                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplate Rose gold                                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,270,220,120,1,taxable,"Catalog, Search",3750,,,,Abstract Geometry Necklace,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN008,,Default,simple,Neckpiece,base,Labyrinthine Necklace,Handcrafted in our studio with rose gold plating is embellished with fresh water pearl and grey glass beads.                                         ,Plating- Electroplated Rose gold                                                              ,Stone-Pearl,<ul><li>Plating- Electroplated Rose gold                                                              </li><li>Stone-Pearl</li></ul>,Rose gold,150,240,130,1,taxable,"Catalog, Search",4999,,,,Labyrinthine Necklace,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN009,,Default,simple,Neckpiece,base,Abstract Hana Necklace,Handcrafted necklace in rose gold plating  features abstract floral pattern with glass beads and multi color stone.                              ,Plating- Electroplated Rose gold                                                     ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                                     </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,280,155,120,1,taxable,"Catalog, Search",5299,,,,Abstract Hana Necklace,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
